TAG,FR,EN,DE,IT,ES,TR
"Default filters","Filtre par défaut","Default filters","Standardfilter","Filtro predefinito","Filtros predeterminados","Favorilerden kaldır"
"Remove from favorites","Supprimer le favoris","Remove from favorites","Favoriten löschen","Eliminare i preferiti","Borrar favoritos","Filtreleri sıfırla"
"Reset filters","Ré-initialiser les filtres","Reset filters","Filter zurücksetzen","Azzeramento dei filtri","Restablecer filtros","Göreceli evrim (n-1'e karşı)"
"Relative evolution (vs. n-1)","Evolution relative (vs n-1)","Relative evolution (vs. n-1)","Relative Entwicklung (vs n-1)","Variazione relativa (vs n-1)","Evolución relativa (vs n-1)","Mutlak evrim (n-1'e karşı)"
"Absolute evolution (vs. n-1)","Evolution absolue (vs n-1)","Absolute evolution (vs. n-1)","Absolute Entwicklung (vs n-1)","Variazione assoluta (rispetto a n-1)","Evolución absoluta (vs n-1)","Varsayılan"
"Default","Par défaut","Default","Standard","Predefinito","Predeterminado","Standart"
"Sales management","Performance commerciale","Sales management","Geschäftliche Leistung","Prestazioni commerciali","Rendimiento comercial","Aktif ürünler"
"Active crops","Cultures actives","Active crops","Aktive Kulturen","Colture attive","Cultivos activos","Aktif olmayan ürünler"
"Inactive crops","Cultures inactives","Inactive crops","Inaktive Kulturen","Colture inattive","Cultivos inactivos","Son güncelleme tarihi"
"Last update date","Dernière date de mise à jour","Last update date","Letztes Aktualisierungsdatum","Data dell'ultimo aggiornamento","Última fecha de actualización","değerler"
"values","valeurs","values","Werte","valori","valores","Yeniden adlandır"
"Rename","Renommer","Rename","Umbenennen","Rinominare","Renombrar","Yok"
"None","Aucune","None","Keine","Nessuna","Ninguno","Bu bölge grubu boş"
"This zone group is empty","Cette sectorisation est vide","This zone group is empty","Diese Sektorisierung ist leer","Questa settorizzazione è vuota","Esta sectorización está vacía","Görüntüleme modu"
"View mode","Mode vue","View mode","Modus Ansicht","Modalità di visualizzazione","Modo de visualización","Tıkla düzenleme modu"
"Clic edit mode","Mode modification au clic","Clic edit mode","Änderungsmodus bei Klick","Modalità di modifica con clic","Modo de modificación por clic","Lasso düzenleme modu"
"Lasso edit mode","Mode modification au lasso","Lasso edit mode","Bearbeitungsmodus mit Lasso","Modalità di modifica con lazo","Modo de edición con selección lazo","Alanlar için görmek istediğiniz özellikleri seçin veya"
"Select characteristics you want to see for parcels, or","Séléctionnez les caractéristiques parcelles que vous souhaitez voir, ou","Select characteristics you want to see for fields, or","Wählen Sie die Merkmale aus, die Sie für Pakete sehen möchten, oder","Selezionare le caratteristiche che si desidera visualizzare per i pacchi,","Seleccione las características que desea ver para las parcelas, o","yenilerini isteyin!"
"ask for new ones !","demandez-en de nouvelles !","ask for new ones !","nach neuen Merkmalen fragen!","oppure richiederne di nuove!","solicita otras nuevas.","Soldaki tutamağı tutarak özellikleri sıralayabilirsiniz."
"You can sort characteristics by grabbing the handle on the left.","Vous pouvez changer l'ordre des caractéristiques en utilisant le symbole sur la gauche.","You can sort characteristics by grabbing the handle on the left.","Sie können die Merkmale sortieren","È possibile ordinare le caratteristiche afferrando la maniglia a sinistra.","Puedes ordenar las características agarrando el asa de la izquierda.","Etkin özellikler"
"Active characteristics","Caractéristiques actives","Active characteristics","Aktive Merkmale","Caratteristiche attive","Características activas","Etkin olmayan özellikler"
"Inactive characteristics","Caractéristiques inactives","Inactive characteristics","Inaktive Merkmale","Caratteristiche inattive","Características inactivas","İçinde"
"inside","dans le","inside","in der","nel","en el","Haftanın"
"on week of","la semaine du","on week of","die Woche vom","la settimana di","la semana de","Kırpma ayrıntısı"
"Crop detail"," Culture détaillée"," Crop detail","Ernte Detail","Dettaglio del raccolto","Detalle del cultivo","Yeni Parola"
"New Password","Nouveau mot de passe","New Password","Neues Passwort","Nuova password","Nueva contraseña","Parola sıfırlama"
"Password reset","Réinitialisation du mot de passe","Password reset","Passwort zurücksetzen","Ripristino della password","Restablecer contraseña","Şifre sıfırlama"
"Reset","Réinitialiser","Reset","Zurücksetzen","Ripristino","Restablecer","Sıfırla"
"This value already exists","Cette valeur existe déjà","This value already exists","Dieser Wert existiert bereits","Questo valore esiste già","Este valor ya existe","Bu değer zaten mevcut"
"Loading farms... It may take a few seconds","Chargement des fermes... Cela peut prendre quelques secondes","Loading farms... It may take a few seconds","Farmen laden... Es kann ein paar Sekunden dauern","Caricamento fattorie... Potrebbero essere necessari alcuni secondi","Cargando explotaciones... Puede tardar unos segundos","Çiftlikler yükleniyor... Birkaç saniye sürebilir"
"A reset email will be sent to you","Nous vous enverrons un email de réinitialisation","A reset email will be sent to you","Sie erhalten eine E-Mail zum Zurücksetzen","Verrà inviata un'e-mail di ripristino","Te enviaremos un correo electrónico de restablecimiento","Size bir sıfırlama e-postası gönderilecek"
"Year","Année","Year","Jahr","Anno","Año","Yıl"
"Please zoom in to see municipalities","Merci de zoomer pour voir les communes","Please zoom in to see municipalities","Bitte zoomen Sie hinein, um die Gemeinden zu sehen","Ingrandire per vedere i comuni","Amplíe la imagen para ver los municipios","Belediyeleri görmek için lütfen yakınlaştırın"
"Hyperplan - Create your account","Hyperplan - Créez votre compte","Hyperplan - Create your account","Hyperplan - Erstellen Sie Ihr Konto","Hyperplan - Crea il tuo account","Hyperplan - Crear su cuenta","Hyperplan - Hesabınızı oluşturun"
"% of surface with value","% de la surface de la zone avec valeur","% of surface with value","% der Fläche des Gebiets mit Wert","% di area con valore","% de superficie con valor","Değerli yüzeyin %'si"
"You are on Hyperplan new version, passwords have to be reset. Please click on the Forgot your password button to receive a reset email.","Vous êtes sur la nouvelle version d'Hyperplan, les mots de passe doivent être réinitialisés. Merci de cliquer sur le bouton Mot de passe oublié pour définir un nouveau mot de passe.","You are on Hyperplan new version, passwords have to be reset. Please click on the Forgot your password button to receive a reset email.","Sie befinden sich auf der neuen Version von Hyperplan, die Passwörter müssen zurückgesetzt werden. Bitte klicken Sie auf die Schaltfläche Passwort vergessen, um eine E-Mail zum Zurücksetzen zu erhalten.","Sei nella nuova versione di Hyperplan, le password devono essere reimpostate. Fare clic sul pulsante Hai dimenticato la password per ricevere un'e-mail di reset.","Estas en Hyperplan nueva versión, las contraseñas tienen que ser restablecidas. Por favor, haz clic en el botón Olvidó su contraseña para recibir un correo electrónico de restablecimiento.","Hyperplan'ın yeni sürümündesiniz"
"Organic","Bio","Organic","Organisch","Organico","Ecológico","Organik"
"Non-organic","Non bio","Non-organic","Nicht-organisch","Non biologico","No ecológico","Organik olmayan"
"Flash coverage"," Flash couverture"," Flash coverage","Flash coverage","Flash coverage","Flash coverage","Flash kapsamı"
"Number of your client farms divided by the total number of farms of the zone","Nombre d'exploitations clientes divisé par le nombre total d'exploitations de la zone","Number of your client farms divided by the total number of farms of the zone","Anzahl der Kundenbetriebe geteilt durch die Gesamtzahl der Betriebe in der Zone.","Numero di aziende agricole clienti diviso per il numero totale di aziende agricole dell'area.","Número de explotaciones clientes dividido por el número total de explotaciones de la zona.","Müşteri çiftliklerinizin sayısının bölgedeki toplam çiftlik sayısına bölünmesi"
"Data is not annualized yet","Cette donnée n'est pas encore annualisée.","Data is not annualized yet","Diese Angabe ist noch nicht annualisiert.","Questo dato non è ancora stato annualizzato.","Esta cifra aún no se ha anualizado.","Veri henüz yıllık hale getirilmedi"
"Surface multiplicated by yield.","Surface multipliée par le rendement.","Surface multiplicated by yield.","Fläche multipliziert mit dem Ertrag.","Superficie moltiplicata per la resa.","Superficie multiplicada por rendimiento.","Yüzey"
"Market shares are not taken into account.","Les parts de marché ne sont pas prises en compte.","Market shares are not taken into account.","Marktanteile werden nicht berücksichtigt.","Le quote di mercato non sono prese in considerazione.","No se tienen en cuenta las cuotas de mercado.","Pazar payları dikkate alınmadı."
"See evolution compared to previous year","Accéder à l'évolution par rapport à l'année précédente.","See evolution compared to previous year","Zugang zur Entwicklung im Vergleich zum Vorjahr.","Si vedano le variazioni rispetto all'anno precedente.","Véanse los cambios con respecto al año anterior.","Önceki yıla kıyasla evrimi görün"
"You can select several zones by holding shift key while clicking","Maintenez la touche MAJ enfoncée pour séléctionner plusieurs zones à la fois","You can select several zones by holding shift key while clicking","Halten Sie die Umschalttaste gedrückt, um eine Mehrfachauswahl zu treffen.","Tenere premuto il tasto MAIUSC per effettuare una selezione multipla","Mantenga pulsada la tecla SHIFT para hacer una selección múltiple","Shift tuşunu basılı tutarak ve tıklayarak birkaç bölge seçebilirsiniz"
"Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Kuruluşlar"
"Organizations Managment","Organizations Managment","Organizations Managment","Organizations Managment","Organizations Managment","Organizations Managment","Kuruluşlar Yönetim"
"Add an organization","Add an organization","Add an organization","Add an organization","Add an organization","Add an organization","Bir kuruluş ekleyin"
"Table","Table","Table","Table","Table","Tabla","Tablo"
"Parcel average yield. Not weighted by area.","Parcel average yield. Not weighted by area.","Parcel average yield. Not weighted by area.","Parcel average yield. Not weighted by area.","Parcel average yield. Not weighted by area.","Parcel average yield. Not weighted by area.","Parsel ortalama verimi. Alana göre ağırlıklandırılmamış."
"Vitechnicald Ha divided by the zone potential.","Total ha vitechnicals divisé par le potentiel de la zone.","Vitechnicald Ha divided by the zone potential.","Besuchte Ha geteilt durch das Zonenpotenzial.","Ha visitati divisi per il potenziale della zona.","Ha visitadas divididas por el potencial de la zona.","Ziyaret edilen Ha bölü bölge potansiyeli."
"Collected volume divided by the zone potential.","Volume collecté divisé par le potentiel de la zone.","Collected volume divided by the zone potential.","Gesammeltes Volumen geteilt durch das Zonenpotenzial.","Volume raccolto diviso per il potenziale della zona.","Volumen recaudado dividido por el potencial de la zona.","Toplanan hacim bölü bölge potansiyeli. Pazar payı topla"
"Collect market share","Part de marché collecte","Collect market share","Marktanteil sammeln","Quota di mercato raccolta","Cuota de mercado recaudada","Pirinç yetiştiriciliği"
"Culture du riz","Culture du riz","Rice cultivation","Anbau von Reis","Coltivazione del riso","Cultivo del arroz","Sebze ve pazar bahçeciliği"
"Cultures de légumes et maraichage","Cultures de légumes et maraichage","Vegetable and market gardening","Anbau von Gemüse und Gemüsegärten","Orticoltura e mercato","Horticultura","Tütün yetiştiriciliği"
"Culture du tabac","Culture du tabac","Tobacco growing","Anbau von Tabak","Coltivazione del tabacco","Cultivo del tabaco","Tekstil ve lifli ürünler"
"Cultures textiles et fibres","Cultures textiles et fibres","Textile and fiber crops","Textil- und Faserkulturen","Colture tessili e da fibra","Cultivos textiles y de fibras","Yem ürünleri"
"Cultures Fourragères","Cultures Fourragères","Fodder crops","Anbau von Futterpflanzen","Colture foraggere","Cultivos forrajeros","Bağcılık"
"Viticulture","Viticulture","Viticulture","Weinbau","Viticoltura","Viticultura","Narenciye yetiştiriciliği"
"Culture d'agrumes","Culture d'agrumes","Citrus growing","Anbau von Zitrusfrüchten","Agrumicoltura","Citricultura","Elmalı ve sert çekirdekli meyve yetiştiriciliği"
"Culture de fruits à pépins et à noyau","Culture de fruits à pépins et à noyau","Pome and stone fruit growing","Anbau von Kern- und Steinobst","Coltivazione di pomacee e drupacee","Cultivo de frutas de pepita y hueso","Diğer ağaç ve çalı meyveleri ile yemişlerin yetiştirilmesi"
"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque","Growing of other tree and bush fruits and nuts","Anbau von sonstigem Baum- und Strauchobst und von Schalenfrüchten","Coltivazione di altri frutti arborei e arbustivi e di frutta a guscio","Cultivo de otras frutas de árbol y arbusto y frutos secos","Yağlı meyvelerin yetiştirilmesi"
"Cultures de fruits oléagineux","Cultures de fruits oléagineux","Growing of oleaginous fruits","Anbau von Ölfrüchten","Coltivazione di frutti oleosi","Cultivo de frutos oleaginosos","Baharat"
"Cultures de plantes à épices, aromatiques, médicinales et pharmaceutiques","Cultures de plantes à épices, aromatiques, médicinales et pharmaceutiques","Growing of spices, aromatic, medicinal and pharmaceutical plants","Anbau von Gewürz-, Aroma-, Medizinal- und Pharma-Pflanzen","Coltivazione di spezie, piante aromatiche, medicinali e farmaceutiche","Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas","Süt ineği yetiştiriciliği"
"Élevage de vaches laitières","Élevage de vaches laitières","Dairy cow farming","Haltung von Milchkühen","Allevamento di bovini da latte","Ganadería lechera","Koyun/keçi yetiştiriciliği"
"Élevage Ovin/caprin","Élevage Ovin/caprin","Sheep/goat farming","Schaf-/Ziegenhaltung","Allevamento di ovini/caprini","Ganadería ovina y caprina","Domuz yetiştiriciliği"
"Élevage Porc/porcin","Élevage Porc/porcin","Pig farming","Schweinezucht/Schweinehaltung","Allevamento di suini","Ganadería porcina","Kümes hayvancılığı"
"Élevage de volailles","Élevage de volailles","Poultry farming","Geflügelzucht","Allevamento di pollame","Avicultura","Çok ürünlü hayvancılık"
"Polycultures élevage","Polycultures élevage","Multi-crop livestock farming","Polykulturen Viehzucht","Allevamento di più colture","Ganadería multicultivo","Tahıl/Endüstriyel/Bakliyat ürünleri"
"Cultures de céréales / Industrielles / Légumineuses","Cultures de céréales / Industrielles / Légumineuses","Cereal / Industrial / Pulses crops","Getreide/Industriekulturen/Hülsenfrüchte","Colture cerealicole / colture industriali / legumi","Cereales / Cultivos industriales / Legumbres","Kullanılabilir yıllar"
"Action","Action","Action","Action","Action","Action","Wiuz ürünü"
"Wiuz crop","Culture Wiuz","Wiuz crop","Wiuz-Ernte","Coltura Wiuz","Cultivo Wiuz","Sürdürülebilirlik programı"
"Sustainability program","Filière durable","Sustainability program","Nachhaltigkeitsprogramm","Programma di sostenibilità","Programa de sostenibilidad","Kalıcı otlak - ağırlıklı olarak çimen (odunsu yem kaynakları yok veya çok az mevcut)"
"Permanent grassland - predominantly grass (woody forage resources absent or only marginally present)","Prairie permanente - herbe predominante (ressources fourrageres ligneuses absentes ou peu presentes)","Permanent grassland - predominantly grass (woody forage resources absent or only marginally present)","Dauergrünland - überwiegend Gras (holzige Futterressourcen nicht oder nur geringfügig vorhanden)","Prati permanenti - prevalentemente erbosi (risorse foraggere legnose assenti o presenti solo marginalmente)","Pastizal permanente: pastizales predominantemente herbáceos (recursos forrajeros leñosos ausentes o solo marginalmente presentes)","Çobanlık alanı - ağırlıklı olarak çimen ve odunsu yem kaynakları mevcut"
"Pastoral area - predominantly grass and woody forage resources present","Surface pastorale - herbe predominante et ressources fourrageres ligneuses presentes","Pastoral area - predominantly grass and woody forage resources present","Weideflächen - überwiegend Gras und holzige Futterressourcen vorhanden","Area pastorale - prevalenza di erba e risorse foraggere legnose presenti","Zona pastoral: predominantemente pastizales y recursos forrajeros leñosos presentes","5 yıl veya daha az olan diğer geçici otlaklar"
"Other temporary grassland of 5 years or less","Autre prairie temporaire de 5 ans ou moins","Other temporary grassland of 5 years or less","Sonstiges temporäres Grünland von 5 Jahren oder weniger","Altri prati temporanei di 5 anni o meno","Otro pastizal temporal de 5 años o menos","Uzun rotasyonlu otlak (6 yıl veya daha fazla)"
"Long-rotation grassland (6 years or more)","Prairie en rotation longue (6 ans ou plus)","Long-rotation grassland (6 years or more)","Grünland mit langer Umtriebszeit (6 Jahre oder mehr)","Prati a lunga rotazione (6 anni o più)","Pastizal en rotación larga (6 años o más)","Çobanlık alanı - ağırlıklı olarak odunsu yem kaynakları"
"Pastoral area - predominantly woody forage resources","Surface pastorale - ressources fourrageres ligneuses predominantes","Pastoral area - predominantly woody forage resources","Weidegebiet - überwiegend holzige Futterressourcen","Area pastorale - risorse foraggere prevalentemente legnose","Zona pastoral: predominantemente recursos forrajeros leñosos","Yonca odunu"
"Clover wood","Bois peture","Clover wood","Kleeholz","Trifoglio silvestre","Bosque de trébol ","Çavdar otu 5 yıl veya daha az"
"Ryegrass 5 years or less","Ray-grass de 5 ans ou moins","Ryegrass 5 years or less","Weidelgras 5 Jahre oder weniger","Loglio di 5 anni o meno","Raigrás de 5 años o menos","Ekolojik İlgi Alanı olarak ilan edilen 6 yıl veya daha uzun nadas arazisi"
"Fallow land of 6 years or more declared as Ecological Interest Area","Jachere de 6 ans ou plus declaree comme Surface d'interet ecologique","Fallow land of 6 years or more declared as Ecological Interest Area","Brachland von 6 Jahren oder mehr, das als Gebiet von ökologischem Interesse ausgewiesen ist","Terreni a riposo di 6 anni o più dichiarati come area di interesse ecologico","Tierra en barbecho de 6 años o más declarada como Área de Interés Ecológico","5 yıl veya daha kısa nadas arazisi"
"Fallow land of 5 years or less","Jachere de 5 ans ou moins","Fallow land of 5 years or less","Brachland von 5 Jahren oder weniger","Terreni a riposo da 5 anni o meno","Tierra en barbecho de 5 años o menos","Geçici olarak kullanılmayan tarım alanı"
"Temporarily unused agricultural area","Surface agricole temporairement non exploitee","Temporarily unused agricultural area","Vorübergehend ungenutzte landwirtschaftliche Fläche","Area agricola temporaneamente inutilizzata","Área agrícola temporalmente no utilizada","Diğer yonca"
"Other trefoil","Autre trefle","Other trefoil","Sonstiges Kleegras","Altro trifoglio","Otro trébol","31/05'ten önce ekilen bakla"
"Broad bean sown before 31/05","Feverole semee avant le 31/05","Broad bean sown before 31/05","Vor dem 31.05. gesäte Ackerbohne","Fave seminate prima del 31/05","Haba sembrada antes del 31/05","Tampon şerit"
"Buffer strip","Bande tampon","Buffer strip","Pufferstreifen","Fascia tampone","Franja de protección","6 yıl veya daha uzun nadas arazisi"
"Fallow land of 6 years or more","Jachere de 6 ans ou plus","Fallow land of 6 years or more","Brachliegende Flächen von 6 Jahren oder mehr","Terreno a riposo da 6 anni o più","Tierra en barbecho de 6 años o más","Lavanta / Lavandin"
"Lavender / Lavandin","Lavande / Lavandin","Lavender / Lavandin","Lavendel / Lavandin","Lavanda / Lavandino","Lavanda / Lavandín","Diğer yıllık yem"
"Other annual forage","Autre fourrage annuel d'un autre genre","Other annual forage","Sonstige einjährige Futterpflanzen","Altre foraggere annuali","Otro forraje anual","Diğer korunga"
"Other sainfoin","Autre sainfoin","Other sainfoin","Anderes Esparsettengras","Altra lupinella","Otro esparceta","Fescue"
"Fescue, 5 years or less","Fetuque de 5 ans ou moins","Fescue, 5 years or less","Schwingel, 5 Jahre oder weniger","Festuca, 5 anni o meno","Festuca, 5 años o menos","5 yıl veya daha az yaşında horoz otu"
"Cocksfoot 5 years old or less","Dactyle de 5 ans ou moins","Cocksfoot 5 years old or less","Knaulgras, 5 Jahre oder weniger alt","Festuca di 5 anni o meno","Dactilo 5 años o menos","Tahıllardan ve/veya protein bitkilerinden (oran < %50) ve/veya yem baklagillerinden (oran < %50) oluşan yem"
"Forage composed of cereals and/or protein crops (in proportion < 50%) and/or forage legumes (in proportion < 50%)","Fourrage compose de cereales et/ou de proteagineux (en proportion < 50%) et/ou de legumineuses fourrageres (en proportion < 50%)","Forage composed of cereals and/or protein crops (in proportion < 50%) and/or forage legumes (in proportion < 50%)","Futter, das aus Getreide und/oder Eiweißpflanzen (Anteil < 50 %) und/oder Futterleguminosen (Anteil < 50 %) besteht","Foraggio composto da cereali e/o colture proteiche (in proporzione < 50%) e/o leguminose da foraggio (in proporzione < 50%)","Forraje compuesto de cereales y/o cultivos proteicos (en proporción <50%) y/o leguminosas forrajeras (en proporción <50%)","Diğer yıllık parfüm / aromatik ve tıbbi bitkiler"
"Other annual perfume / aromatic and medicinal plants","Autre plante e  parfum / aromatique et medicinale annuelle","Other annual perfume / aromatic and medicinal plants","Sonstige einjährige Duft-, Aroma- und Heilpflanzen","Altre piante annuali da profumo/aromatiche e medicinali","Otras plantas anuales aromáticas, medicinales y de perfume","Miscanthus"
"Miscanthus","Miscanthus","Miscanthus","Miscanthus","Miscanto","Miscanto","Diğer fiğ"
"Other vetch","Autre vesce","Other vetch","Sonstige Wicke","Altra veccia","Otra veza","Başka bir cinsin diğer yabani otlu yem bitkisi"
"Other weeded fodder plant of another genus","Autre plante fourragere sarclee d'un autre genre","Other weeded fodder plant of another genus","Andere verunkrautete Futterpflanzen einer anderen Gattung","Altre piante foraggere infestanti di altro genere","Otra planta forrajera desyerbada de otro género","Kısa rotasyonlu baltalık"
"Short rotation coppice","Taillis en courte rotation","Short rotation coppice","Niederwald mit Kurzumtrieb","Ceduo a rotazione breve","leñosos/montes de rotación corta ","Diğer çok yıllık parfüm / aromatik ve tıbbi bitkiler"
"Other perennial perfume / aromatic and medicinal plants","Autre plante e  parfum / aromatique et medicinale perenne","Other perennial perfume / aromatic and medicinal plants","Andere mehrjährige Duft-, Gewürz- und Heilpflanzen","Altre piante perenni da profumo/aromatiche e medicinali","Otras plantas perennes aromáticas, medicinales y de perfume","Adaçayı"
"Sage","Sauge","Sage","Salbei","Salvia","Salvia","Diğer yem yaprağı"
"Other forage leaf","Autre feverole fourragere","Other forage leaf","Anderes Futterkraut","Altre piante da foraggio","Otra hoja forrajera","Tütün"
"Tobacco","Tabac","Tobacco","Tabak","Tabacco","Tabaco","Diğer saf yem gramineae 5 yaşına kadar"
"Other pure forage gramineae up to 5 years old","Autre graminee fourragere pure de 5 ans ou moins","Other pure forage gramineae up to 5 years old","Andere reine Futtergräser bis zu 5 Jahren","Altre graminacee foraggere pure fino a 5 anni di età","Otro gramíneo puro forrajero de hasta 5 años","Kişniş"
"Coriander","Coriandre","Coriander","Koriander","Coriandolo","Cilantro","Maydanoz"
"Parsley","Persil","Parsley","Petersilie","Prezzemolo","Perejil","31/05'ten önce ekilen ilkbahar tatlı acı baklası"
"Spring sweet lupin sown before 31/05","Lupin doux de printemps seme avant le 31/05","Spring sweet lupin sown before 31/05","Frühjahrs-Süßlupine, ausgesät vor dem 31/05","Lupino dolce primaverile seminato prima del 31/05","Lupino dulce primaveral sembrado antes del 31/05","Kış tatlı acı baklası"
"Winter sweet lupin","Lupin doux d'hiver","Winter sweet lupin","Winter-Süßlupine","Lupino dolce invernale","Lupino dulce invernal","Ara ekim: Her biri %25'ten fazla olan 2 ürün"
"Intercropping: 2 crops representing more than 25% each","Cultures conduites en interrange : 2 cultures representant chacune plus de 25%","Intercropping: 2 crops representing more than 25% each","Zwischenfruchtanbau: 2 Kulturen mit einem Anteil von jeweils mehr als 25%","Intercrocio: 2 colture che rappresentano più del 25% ciascuna","Intercultivo: 2 cultivos que representan más del 25% cada uno","Kekik"
"Thyme","Thym","Thyme","Thymian","Timo","Tomillo","Kurutulmuş yonca"
"Dehydrated clover","Trefle deshydrate","Dehydrated clover","Getrockneter Klee","Trifoglio disidratato","Trébol deshidratado","Papatya"
"Chamomile","Camomille","Chamomile","Kamille","Camomilla","Manzanilla","Nane"
"Mint","Menthe","Mint","Minze","Menta","Menta","Meyve bahçesi"
"Orchard","Verger","Orchard","Obstgarten","Frutteto","Huerto","Domuzlar veya küçük geviş getirenler tarafından bakılan ormanlık alan"
"Woodland maintained by pigs or small ruminants","Chenaie entretenue par des porcins ou des petits ruminants","Woodland maintained by pigs or small ruminants","Von Schweinen oder kleinen Wiederkäuern gehaltene Wälder","Bosco mantenuto da suini o piccoli ruminanti","Área forestal mantenida por cerdos o pequeños rumiantes","Ceviz"
"Walnut","Noix","Walnut","Walnuss","Noce","Nogal","Domuzlar veya küçük geviş getirenler bulunan kestane korusu"
"Chestnut grove with pigs or small ruminants","Chetaigneraie entretenue par des porcins ou des petits ruminants","Chestnut grove with pigs or small ruminants","Kastanienwäldchen mit Schweinen oder kleinen Wiederkäuern","Castagneto con suini o piccoli ruminanti","Castañar con cerdos o pequeños rumiantes","Erik"
"Plum","Prune d'Ente pour transformation","Plum","Pflaume","Prugna","Ciruela","Eski tarım arazisindeki ormanlık alan"
"Wooded area on former farmland","Surface boisee sur une ancienne terre agricole","Wooded area on former farmland","Bewaldete Fläche auf ehemaligem Ackerland","Area boschiva su ex terreni agricoli","Área boscosa en tierras agrícolas abandonadas","Fındık"
"Hazelnut","Noisette","Hazelnut","Haselnuss","Nocciolo","Avellano","Kestane"
"Chestnut","Chetaigne","Chestnut","Kastanie","Castagno","Castaño","Truffiere (mikoriza plantasyonu)"
"Truffiere (mycorrhizae plantation)","Truffiere (chenaie de plants mycorhizes)","Truffiere (mycorrhizae plantation)","Trüffel (Mykorrhizapflanzung)","Truffiere (piantagione di micorrize)","Truficultura (plantación micorrizada)","Küçük kırmızı meyve"
"Small red fruit","Petit fruit rouge","Small red fruit","Kleine rote Früchte","Piccoli frutti rossi","Pequeña fruta roja","Roseliere"
"Roseliere","Roseliere","Roseliere","Roseliere","Roselline","Rosal silvestre","Narenciye"
"Citrus","Agrume","Citrus","Zitrusfrüchte","Agrumi","Cítricos","İşleme için Bigarreau kirazı"
"Bigarreau cherry for processing","Cerise bigarreau pour transformation","Bigarreau cherry for processing","Bigarreau-Kirsche zur Verarbeitung","Ciliegia Bigarreau da trasformazione","Cereza Bigarreau para transformación","İşleme için Williams armudu"
"Williams pear for processing","Poire Williams pour transformation","Williams pear for processing","Williams-Birne zur Verarbeitung","Pera Williams per la trasformazione","Pera Williams para transformación","(boş)"
"(blank)","(blank)","(blank)","(leer)","(vuoto)","(sin especificar).","Tarla sınırı"
"Field border","Bordure de champ","Field border","Feldrand","Bordo di campo","Borde del campo","Pepiniere"
"Pepiniere","Pepiniere","Pepiniere","Pepiniere","Pepiniere","Vivero","illette"
"illette","illette","illette","Illette","illette","pequeña parcela","Moha"
"Moha","Moha","Moha","Moha","Moha","Moha","Sarımsak"
"Garlic","Ail","Garlic","Knoblauch","Aglio","Ajo","Üretim olmadan bir matkap boyunca izin verilen şerit"
"Allowable strip along a drill without production","Bande admissible le long d'une foret sans production","Allowable strip along a drill without production","Erlaubter Streifen entlang einer Bohrung ohne Produktion","Striscia ammissibile lungo una perforazione senza produzione","Franja permitida a lo largo de un surco sin producción","Üretim ile bir matkap boyunca uygun şerit"
"Eligible strip along a drill with production","Bande admissible le long d'une foret avec production","Eligible strip along a drill with production","Zulässiger Streifen entlang einer Drillmaschine mit Produktion","Striscia ammissibile lungo una trivella con produzione","Franja elegible a lo largo de un surco con producción","5 yaşında veya daha küçük Phacelia"
"Phacelia 5 years old or less","Phacelie de 5 ans ou moins","Phacelia 5 years old or less","Phacelia 5 Jahre alt oder weniger","Phacelia di 5 anni o meno","Facelia de 5 años o menos","Tuz bataklığı"
"Salt marsh","Marais salant","Salt marsh","Salzwiese","Palude salata","Marisma salina","Çemen otu"
"Fenugreek","Fenugrec","Fenugreek","Bockshornklee","Fieno greco","Fenogreco","Kurutulmuş Korunga"
"Dehydrated Sainfoin","Sainfoin deshydrate","Dehydrated Sainfoin","Getrocknetes Esparsettengras","Lupinella disidratata","Esparceta deshidratada","Ketenotu"
"Camelina","Cameline","Camelina","Leindotter","Camelina","Camelina","Sera mahsulü"
"Greenhouse crop","Culture sous serre hors sol","Greenhouse crop","Gewächshauskulturen","Coltura in serra","Cultivo bajo invernadero","5 yaşında veya daha küçük Bromegrass"
"Bromegrass 5 years old or less","Brome de 5 ans ou moins","Bromegrass 5 years old or less","Brombeergras 5 Jahre alt oder weniger","Bromegrass di 5 anni o meno","Bromo de 5 años o menos","Kuş ayağı yoncası"
"Bird's-foot trefoil","Lotier","Bird's-foot trefoil","Dreiblättriges Kleeblatt","Trifoglio dei piedi di uccello","Lotus corniculatus","Yeremya"
"Jerusalem artichoke","Topinambour","Jerusalem artichoke","Topinambur","Topinambur","Topinambur","Dereotu"
"Dill","Aneth","Dill","Dill","Aneto","Eneldo","Başka bir cinsin diğer yağlı tohumları"
"Other oilseeds of another genus","Autre oleagineux d'un autre genre","Other oilseeds of another genus","Andere Ölsaaten einer anderen Gattung","Altri semi oleosi di altro genere","Otras oleaginosas de otro género","Melisa"
"Lemon balm","Melisse","Lemon balm","Zitronenmelisse","Melissa","Melisa","Süt devedikeni"
"Milk thistle","Chardon Marie","Milk thistle","Mariendistel","Cardo mariano","Cardo mariano","Hordeum cinsinin diğer kışlık tahılları"
